Count,Title,Release Date,Team,Team1,Team2,Rating,Number of Reviews,Genres,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Summary,Plays,Playing,Backlogs,Wishlist,Team Count
276,Shadow the Hedgehog,2005-11-15,"['Sega', 'Sonic Team']",Sega, Sonic Team,2.4,584,"['Adventure', 'Platform', 'Shooter']",Adventure,Platform,Shooter,Not applicable,Not applicable,Not applicable,"the world is in peril as forces both good and evil make a play for the powerful chaos emeralds in shadow the hedgehog you can control shadow and choose which side to fight for this 3d platformer lets you use weapons vehicles environmental objects and time and space manipulation to combat your foes
although it is a 3d platform game as with the more recent sonic adventure games the games levels each feature up to three different missions hero dark normal that the player may choose to complete the games plot depends on which mission is completed as well as subsequent playable levels the game stars shadow the hedgehog and his quest to recover his memory a goal he has been pursuing since his debut in sonic adventure 2 while an evil alien race known as the black arms is invading the planet",5600,45,731,423,2
277,Ōkami HD,2012-10-30,"['Clover Studio', 'Capcom']",Clover Studio, Capcom,4.2,527,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,experience the critically acclaimed masterpiece with its renowned sumie ink art style in breathtaking high resolution take on the role of amaterasu the japanese sun goddess who inhabits the form of a legendary white wolf on a quest to defeat orochi an eightheaded demon and tyrannical monster responsible for turning the world of nippon into a ruined wasteland,3300,321,3100,1200,2
278,Metroid: Samus Returns,2017-09-15,"['MercurySteam', 'Nintendo']",MercurySteam, Nintendo,3.6,674,"['Adventure', 'Platform']",Adventure,Platform,Not applicable,Not applicable,Not applicable,Not applicable,"metroid samus returns is a remake of metroid 2 return of samus
it uses a 3d graphic style with a side view camera that zooms in and changes for cutscenes it also has new mechanics items and abilities
brave the hostile terrain of an alien planet teeming with vicious life forms as legendary bounty hunter samus aran her mission terminate the metroid menace in this masterful reimagining of her 1991 game boy adventure samus aran’s arsenal has been enhanced with new moves and abilities that are sure to help her face the deadly surprises that await this intense sidescrolling action platformer is a great entry point into the metroid franchise and perfect for returning fans as well and it’s available only on the nintendo 3ds family of systems",3900,149,1400,686,2
279,Life is Strange: True Colors,2021-09-10,"['Deck Nine', 'Square Enix']",Deck Nine, Square Enix,3.6,566,['Adventure'],Adventure,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,life is strange is a series of awardwinning and criticallyacclaimed narrative adventure games discover a universe where everyday heroes wield supernatural powers while dealing with real challenges real relationships and real emotions its our world with a twist of the strange no matter your choices the experience will stay with you forever deep in the mountains of colorado youll find haven springs a small mining town filled with beauty and mystery as alex youll discover the shocking secrets behind your brother’s death in an emotional rollercoaster of an adventure using your psychic power of empathy to change fate and change lives,2300,126,852,1100,2
280,Pokémon Black Version 2,2012-06-23,"['Game Freak', 'Nintendo']",Game Freak, Nintendo,4.2,776,"['Adventure', 'RPG', 'Turn-Based-Strategy']",Adventure,RPG,Turn-Based-Strategy,Not applicable,Not applicable,Not applicable,"pokémon black version 2 and pokémon white version 2 are the second and final paired versions of generation v and are the sequels of pokémon black and white respectively
both games were revealed on pokémon smash by junichi masuda and subsequently the official japanese and international pokémon websites on february 26 2012 they were released in japan on june 23 2012 in north america on october 7 2012 in australia on october 11 2012 in europe on october 12 2012 and in south korea on november 8 2012
the games feature two new forms of kyurem that serve as the game mascots of the games black kyurem for black 2 and white kyurem for white 2",7600,130,1100,449,2
281,Needy Streamer Overload,2022-01-21,"['Nintendo', 'WSS playground']",Nintendo, WSS playground,3.5,216,"['Adventure', 'Indie', 'Point-and-Click', 'RPG', 'Simulator', 'Visual-Novel']",Adventure,Indie,Point-and-Click,RPG,Simulator,Visual-Novel,needy streamer overload is a “multiending adv” depicting daily life with “omgkawaiiangelchan” a young girl with a rather extreme need for approval attempting to become the 1 “internet angel” streamer,1200,105,529,567,2
282,Borderlands,2009-10-20,"['2K Games', 'Gearbox Software']",2K Games, Gearbox Software,3.1,484,"['RPG', 'Shooter']",RPG,Shooter,Not applicable,Not applicable,Not applicable,Not applicable,"with its addictive action frantic firstperson shooter combat massive arsenal of weaponry rpg elements and fourplayer coop borderlands is a breakthrough experience that challenges all the conventions of modern shooters borderlands places you in the role of a mercenary on the lawless and desolate planet of pandora hellbent on finding a legendary stockpile of powerful alien technology known as the vault
role playing shooter rps  combines frantic firstperson shooting action with accessible roleplaying character progression
coop frenzy  fly solo in single player or drop in and out with up to 4 player coop online for a maniacal multiplayer experience
bazillions of guns  gun lust fulfilled with rocketlaunching shotguns enemytorching revolvers smgs that fire lightning rounds and tons more
radical art style  new visual style combines traditional rendering techniques with handdrawn textures to create a unique and eyecatching spin on the first person genre
intense vehicular combat  get behind the wheel and engage in intense vehicletovehicle combat",9100,98,1200,450,2
283,Hollow Knight: Voidheart Edition,2018-09-25,['Team Cherry'],Team Cherry,Not applicable,4.5,462,"['Adventure', 'Indie', 'Platform']",Adventure,Indie,Platform,Not applicable,Not applicable,Not applicable,"explore twisting caverns ancient cities and deadly wastes battle tainted creatures and befriend bizarre bugs uncover ancient history and solve mysteries buried at the kingdoms heart
hollow knight voidheart edition includes
 the original award winning action adventure
 4 giant content packs built in at launch expanding the game with all new quests terrifying boss fights and striking new abilities",3900,295,1300,363,1
284,Klonoa: Door to Phantomile,1997-12-11,['Namco'],Namco,Not applicable,4.1,648,['Platform'],Platform,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,klonoa door to phantomile is a sidescrolling platform game viewed from a 25d perspective the player moves the protagonist klonoa along a path in a twodimensional fashion but the game is rendered in three dimensions this allows the path followed to curve and for the player to interact with objects outside of the path,2200,63,877,590,1
285,Shadow of the Tomb Raider,2018-09-14,"['Eidos Montréal', 'Square Enix']",Eidos Montréal, Square Enix,3.3,522,"['Adventure', 'Shooter']",Adventure,Shooter,Not applicable,Not applicable,Not applicable,Not applicable,"experience lara crofts defining moment
as lara croft races to save the world from a maya apocalypse she must become the tomb raider she is destined to be
become the tomb raider",4800,161,2800,701,2
286,Mario & Luigi: Bowser's Inside Story,2009-09-14,"['Nintendo', 'AlphaDream']",Nintendo, AlphaDream,4.2,837,"['Platform', 'RPG']",Platform,RPG,Not applicable,Not applicable,Not applicable,Not applicable,mario  luigi bowsers inside story is the third game in the mario  luigi series of games players control mario and luigi simultaneously in the sidescrolling platform environment of bowsers body while also controlling the koopa king himself in the topdown world of the mushroom kingdom similar to games like earthbound enemy encounters are seen as actual enemies that players can avoid or attempt to strike early the actual battles are a combination of turnbased menu attacks and timed reactions to enemies during battle by watching the way an enemy reacts you can anticipate their attack and avoid it or counterattack,6600,95,1500,629,2
287,Ghostrunner,2020-10-27,"['One More Level', 'All In! Games']",One More Level, All In! Games,3.5,486,"['Adventure', 'Platform', 'Shooter']",Adventure,Platform,Shooter,Not applicable,Not applicable,Not applicable,ascend humanity’s last remaining shelter a great towercity the tower is torn by violence poverty and chaos conquer your enemies discover the secrets of the superstructure and your own origin and obtain the power to challenge the keymaster,3300,170,1700,783,2
288,Watch Dogs 2,2016-11-15,"['Ubisoft Montreal', 'Ubisoft Entertainment']",Ubisoft Montreal, Ubisoft Entertainment,3.3,554,"['Adventure', 'Shooter']",Adventure,Shooter,Not applicable,Not applicable,Not applicable,Not applicable,explore a massive and dynamic open world offering an incredible variety of gameplay possibilities hack your way through traffic while you engage in dangerous car chases through the winding streets of san francisco traverse the rooftops of the colorful and vibrant neighborhoods of oakland and infiltrate the cuttingedge offices of silicon valley companies there are many secrets to uncover in the birthplace of the tech revolution,6600,125,1900,453,2
289,Mass Effect 3,2012-03-06,"['BioWare Edmonton', 'Electronic Arts']",BioWare Edmonton, Electronic Arts,3.7,777,"['Adventure', 'RPG', 'Shooter']",Adventure,RPG,Shooter,Not applicable,Not applicable,Not applicable,"earth is burning the reapers have taken over and other civilizations are falling like dominoes lead the final fight to save humanity and take back earth from these terrifying machines commander shepard youll need backup for these battles fortunately the galaxy has a habit of sending unexpected species your way recruit team members and forge new alliances but be prepared to say goodbye at any time as partners make the ultimate sacrifice its time for commander shepard to fight for the fate of the human race and save the galaxy no pressure commander
fight smarter take advantage of new powers and combat moves shepard can now blind fire at enemies and build tougher melee attacks plus when you fight as a team you can combine new biotic and tech powers to unleash devastating power combos
build the final force build a team from a variety of races and classes and combine their skills to overcome impossible odds youll be joined by newcomers like james vega a toughasnails soldier as well as edi a trusted ai in a newly acquired physical form keep an eye out for beloved characters from your past but beware some may not survive the final battle
face off against friends enjoy an integrated coop multiplayer mode and team up with friends online to liberate key conflict zones from increasingly tough opponents customize your warrior and earn new weapons armor and abilities to build war preparedness stats in your single player campaign",7300,79,1500,482,2
290,Goat Simulator,2014-04-01,['Coffee Stain Studios'],Coffee Stain Studios,Not applicable,2.4,337,"['Adventure', 'Indie', 'Simulator']",Adventure,Indie,Simulator,Not applicable,Not applicable,Not applicable,goat simulator is a thirdperson perspective game in which the player controls a goat there does not appear to be any kind of storyline or plot the player is free to explore the games world as a goat destroying things in the environment running jumping and licking goat simulator is like an old school skating game except instead of being a skater youre a goat and instead of doing tricks you wreck stuff explained the games creators,8400,22,492,125,1
291,The Elder Scrolls V: Skyrim - Special Edition,2016-10-27,"['Bethesda Game Studios', 'Bethesda Softworks']",Bethesda Game Studios, Bethesda Softworks,4.0,439,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,"skyrim special edition is a remaster of the classic from 2011 now with upgraded visuals
skyrim reimagines and revolutionises the openworld fantasy epic bringing to life a complete virtual world open for you to explore any way you choose",6500,374,1300,319,2
292,Far Cry 5,2018-03-26,"['Ubisoft Entertainment', 'Ubisoft Montreal']",Ubisoft Entertainment, Ubisoft Montreal,3.0,558,"['Adventure', 'Shooter']",Adventure,Shooter,Not applicable,Not applicable,Not applicable,Not applicable,"welcome to hope county montana land of the free and the brave but also home to a fanatical doomsday cult known as the project at eden’s gate that is threatening the communitys freedom stand up to the cult’s leader joseph seed and the heralds and spark the fires of resistance that will liberate the besieged community
in this expansive world your limits and creativity will be tested against the biggest and most ruthless baddest enemy far cry has ever seen it’ll be wild and it’ll get weird but as long as you keep your wits about you the residents of hope county can rest assured knowing you’re their beacon of hope",6600,169,1200,470,2
293,Call of Duty: Modern Warfare 3,2011-11-08,"['Sledgehammer Games', 'Activision']",Sledgehammer Games, Activision,3.2,587,"['Adventure', 'Shooter', 'Tactical']",Adventure,Shooter,Tactical,Not applicable,Not applicable,Not applicable,call of duty modern warfare 3 is a firstperson shooter video game developed by infinity ward and sledgehammer games treyarch for the wii version with raven software having assisted in development and published by activision,10000,27,492,195,2
294,Friday Night Funkin',2020-11-01,['ninja_muffin99'],ninja_muffin99,Not applicable,2.8,203,['Music'],Music,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"an extremely fun rhythmdance game for fans of ddr guitar hero 3
the plot of the game centers around our protagonist boyfriend trying to hook up with girlfriend but her exrockstar father daddy dearest doesnt approve of him its up to boyfriend to rap battle his way through him and anyone else that stands in his path so that he can finally kiss girlfriend time to get freaky",4500,67,230,171,1
295,Osu!,2007-09-16,"['Dean ""ppy"" Herbert']","Dean ""ppy"" Herbert",Not applicable,3.1,187,"['Indie', 'Music']",Indie,Music,Not applicable,Not applicable,Not applicable,Not applicable,osu is a freeware rhythm game originally for microsoft windows it is written in c on the net framework and inspired by osu tatakae ouendan,7300,426,234,90,1
296,The Legend of Zelda: Twilight Princess,2006-11-19,"['Nintendo', 'Nintendo EAD Software Development Group No.3']",Nintendo, Nintendo EAD Software Development Group No.3,4.1,642,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,the legend of zelda twilight princess was initially developed with the nintendo gamecube in mind but ended up receiving a wii port when it was released to promote the new console this version has motion control compatibility for the sword and pointer controls for the menus the bow and the boomerang this version of the game has a completely inverted map and locations when comparing with the gamecube release the change in layout was meant to adapt links usually lefthanded design to righthanded people given the motion controls,6000,82,1100,466,2
297,Bloodborne: The Old Hunters,2015-11-24,"['FromSoftware', 'Sony Computer Entertainment']",FromSoftware, Sony Computer Entertainment,4.6,266,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,"the old hunters is the first expansion for bloodborne it will feature all new locations bosses weapons and armor
set in a nightmare world where hunters from the past are trapped forever explore brand new stages full of dangers rewards and deadly beasts to overcome you’ll find multiple new outfits and weapons to add to your arsenal as well as additional magic to wield and add more variety to your combat strategy
with new story details learn the tale of hunters who once made yharnam their hunting grounds meet new npcs and discover another side of the history and world of bloodborne",4400,68,930,616,2
298,Fire Emblem Warriors: Three Hopes,2022-06-24,"['Nintendo', 'Omega Force']",Nintendo, Omega Force,3.6,360,"['Brawler', 'RPG', 'Simulator', 'Strategy', 'Tactical']",Brawler,RPG,Simulator,Strategy,Tactical,Not applicable,prepare for a different story set in the same universe as fire emblem three houses shez a mercenary whose team was decimated by byleth in battle joins the military academy of garreg mach monastery and becomes a student in one of three classes each including students from one of the three nations of the continent of fódlan like in three houses the game allows players to decide which class to join leading to different story paths and playable characters,1100,305,761,576,2
299,Super Smash Bros. for Nintendo 3DS,2014-09-13,"['Nintendo', 'Sora']",Nintendo, Sora,3.3,545,['Fighting'],Fighting,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,super smash bros for nintendo 3ds is the first portable entry in the renowned series in which game worlds collide up to four players battle each other locally or online using some of nintendo’s most wellknown and iconic characters across beautifully designed stages inspired by classic portable nintendo games it’s a genuine massive super smash bros experience that’s available to play on the go anytime anywhere,10000,23,273,96,2
300,The Legend of Heroes: Trails to Azure,2011-09-29,['Nihon Falcom'],Nihon Falcom,Not applicable,4.5,519,"['Adventure', 'RPG', 'Strategy', 'Turn-Based-Strategy']",Adventure,RPG,Strategy,Turn-Based-Strategy,Not applicable,Not applicable,the special support section is back with more members and more cases to solve how will this ragtag group deal with the oncoming threats to crossbells political stability while maintaining their teams foundation,1400,72,714,701,1
301,Super Mario RPG: Legend of the Seven Stars,1996-03-09,"['Square', 'Nintendo']",Square, Nintendo,4.0,832,"['Adventure', 'Platform', 'RPG']",Adventure,Platform,RPG,Not applicable,Not applicable,Not applicable,a jrpg entry in the super mario franchise in which mario meets many unlikely allies in order to jump and fight his way through the mushroom kingdom and collect stars to repair the star road the pathway that grants peoples wishes which was destroyed by smithy the otherworldly entity that hijacked bowsers castle and threw the kingdom into disarray,4400,133,2300,858,2
302,Astral Chain,2019-08-30,"['PlatinumGames', 'Nintendo']",PlatinumGames, Nintendo,3.6,568,"['Adventure', 'Brawler']",Adventure,Brawler,Not applicable,Not applicable,Not applicable,Not applicable,astral chain a brand new action game from platinumgames exclusive to nintendo switch as part of a police special task force it’s up to you to fight against mysterious alienlike creatures who have invaded the world,3600,210,2300,1400,2
303,DmC: Devil May Cry,2013-01-15,"['Ninja Theory', 'Capcom']",Ninja Theory, Capcom,3.0,432,"['Adventure', 'Brawler']",Adventure,Brawler,Not applicable,Not applicable,Not applicable,Not applicable,dmc devil may cry is the fifth game in the hackandslash thirdperson action series and the first not largely developed by capcom this title is a reimagining of the series with the same protagonist dante but set in an alternate universe the dante in this game is very different from before doing away with the trademark white hair and altering the main character as well as the games tone with a much more western influence the gameplay is still largely identical as dante engages many opponents with a fast fighting style stringing together combos and hits in quick succession,6300,62,1200,448,2
304,Dragon Age: Origins,2009-11-03,"['Electronic Arts', 'BioWare']",Electronic Arts, BioWare,4.0,712,['RPG'],RPG,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,dragon age origins is a thirdperson roleplaying game described as a spiritual successor to baldurs gate and neverwinter nights franchises players create their own character by customizing gender and appearance as well as choosing a race and class combat is in real time with the ability to pause at any moment tactical options include an editor which allows the player to give the ai detailed instructions on how to behave in every possible situation although the main storyline is the same for every character created the game features six unique prologues two for each race dragon age origins received critical acclaim upon release with praise mostly directed at its story setting characters music and combat system,6100,148,1700,534,2
305,Vagrant Story,2000-02-10,"['Square', '(Archive) Square Product Development Division 4']",Square, (Archive) Square Product Development Division 4,4.0,503,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,adventure into a world of unparalleled depth and danger with squaresofts vagrant story in this sweeping dungeoncrawling epic you play as ashley riot a young assassin and spy for the organization known as riskbreakers your goal is to unravel a deep and twisted plot and come to terms with the recent death of your wife and child if this sounds a bit too cerebral never fear your path to recapturing your sense of humanity hinges on the destruction of countless vicious monsters and the exploration of dark and dangerous dungeons vagrant story is awash in gorgeous scenery and features designs from yasumi matsuno and akihiko yoshida the acclaimed artists and creators behind final fantasy tactics,1000,59,1600,889,2
306,Amnesia: The Dark Descent,2010-09-08,['Frictional Games'],Frictional Games,Not applicable,3.5,525,"['Adventure', 'Indie', 'Puzzle']",Adventure,Indie,Puzzle,Not applicable,Not applicable,Not applicable,amnesia the dark descent is a survival horror video game by frictional games the game features a protagonist named daniel exploring a dark and foreboding castle while trying to maintain his sanity by avoiding monsters and other terrifying obstructions the game was critically well received,4700,86,1800,407,1
307,Monster Hunter Rise: Sunbreak,2022-06-29,['Capcom'],Capcom,Not applicable,4.3,217,"['Brawler', 'RPG']",Brawler,RPG,Not applicable,Not applicable,Not applicable,Not applicable,"monster hunter rise sunbreak is an expansion to the original monster hunter rise
featuring improved gameplay and nimblefeeling additions to combat mechanics unique new monsters and hunting locales and a new difficulty level in the form of master rank quests
as the hunter who saved kamura from calamity you must now journey to the faroff reaches of elgado an outpost near a kingdom beset by a sinister new nemesis—the elder dragon malzeno",1100,267,327,242,1
308,Super Mario Maker 2,2019-06-28,"['Nintendo EPD', 'Nintendo']",Nintendo EPD, Nintendo,3.7,689,['Platform'],Platform,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,a sidescrolling mario adventure that unleashes the creative potential of super mario maker 2 awaits in story mode which contains over 100 builtin courses and in course maker a wide range of parts tools and more are available so you can construct your own courses want coinshooting cannons bowser riding on a giant goomba cat mario sliding down slopes to take out an army of baddies go for it you call the shots pass a joycon controller to a partner to build cooperatively on a single system,6600,114,623,459,2
309,Fire Emblem: The Blazing Blade,2003-04-25,"['Intelligent Systems Co Ltd', 'Nintendo']",Intelligent Systems Co Ltd, Nintendo,3.7,609,"['RPG', 'Strategy', 'Tactical']",RPG,Strategy,Tactical,Not applicable,Not applicable,Not applicable,"it is the seventh game of the fire emblem series the second game in the series to be released for the game boy advance and the first to be released in both north america and europe it features a prologue storyline designed to introduce newcomers to fire emblem gameplay and tactical basics the overall narrative is a prequel to the events of the previous game fire emblem the binding blade which is set twenty years later
the game was first released under the localized title fire emblem in the west but it was later rebranded as fire emblem the blazing blade when fire emblem heroes was released",3900,158,1200,401,2
310,LEGO Marvel Super Heroes,2013-09-30,"['WB Games', ""Traveller's Tales""]",WB Games," ""Travellers Tales""",3.6,522,"['Adventure', 'Brawler', 'Puzzle']",Adventure,Brawler,Puzzle,Not applicable,Not applicable,Not applicable,in lego marvel super heroes players will unlock more than 100 characters from across the marvel universe including fan favorites like spiderman iron man wolverine captain america the hulk thor black widow hawkeye deadpool loki and galactus the game will pack in a plethora of supercool character abilities combatlike action sequences epic battle scenes puzzlesolving and a unique story told with playful lego humor,6000,65,592,126,2
311,Sonic Colors,2010-11-11,"['SEGA of America', 'Sonic Team']",SEGA of America, Sonic Team,3.4,609,"['Adventure', 'Platform']",Adventure,Platform,Not applicable,Not applicable,Not applicable,Not applicable,sonic colors titled sonic colours in european and australian markets is a platforming game in the sonic the hedgehog series developed by sonic team and published by sega in 2010 the game was released worldwide for the wii in november 2010 another version featuring different gameplay was also released on the nintendo ds at the same time,5100,44,690,342,2
312,Pokémon Moon,2016-11-18,"['The Pokémon Company', 'Game Freak']",The Pokémon Company, Game Freak,3.3,648,"['Adventure', 'RPG', 'Strategy', 'Turn-Based-Strategy']",Adventure,RPG,Strategy,Turn-Based-Strategy,Not applicable,Not applicable,"pokémon sun and pokémon moon trademarks were registered thus leaking the next pokémon game titles to the public pokémoncom confirmed the games would be for the nintendo 3ds and released in holiday 2016 with a new world new pokémon and new adventures
pokémon sun and pokémon moon will be the first games in the pokémon series to allow players to choose from nine languages to play in in addition to english french german italian japanese korean and spanish players will now be able to play in both traditional and simplified chinese",7900,75,653,234,2
313,Zelda II: The Adventure of Link,1987-01-14,"['Nintendo', 'Nintendo EAD']",Nintendo, Nintendo EAD,2.6,756,"['Adventure', 'RPG']",Adventure,RPG,Not applicable,Not applicable,Not applicable,Not applicable,zelda ii the adventure of link is the second major installment in the legend of zelda series and the direct sequel to the first game like its predecessor it features dungeons that must be located in the overworld and searched for an item that will prove useful however the game presents many very important gameplay changes compared to the previous one affecting especially the movements and the combat moving around the world map involves encounters with enemies that take place on a sidescrolling playfield rather than the topdown perspective for which the series became known,4500,55,1100,290,2
314,Battlefield 4,2013-10-29,"['EA Digital Illusions CE', 'Electronic Arts']",EA Digital Illusions CE, Electronic Arts,3.5,431,['Shooter'],Shooter,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,battlefield 4 is the genredefining action blockbuster created by dice and made from moments that blur the line between game and glory moments found only in battlefield go to boot camp to learn the basics of battlefield 4s engaging single player and intense multiplayer mode here youll also find intel on levolution commander mode naval warfare and many more exciting game features,7100,72,506,124,2
315,Dragon Ball Z: Budokai Tenkaichi 3,2007-10-04,"['Namco Bandai Games', 'Spike']",Namco Bandai Games, Spike,3.9,435,['Fighting'],Fighting,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,budokai tenkaichi 3 is a 1vs1 fighting game based on the animemanga dragon ball by akira toriyama it includes the apocalyptic battles and the essence of the dragon ball series following the main story of the popular manga as in the previous games of the series youll have to select your character over 162 characters with their own movements and combos and fight against a friend or the computer in many different game modes with many different stages and weathertime conditions,6600,32,278,135,2
316,WarioWare: Get It Together!,2021-09-09,"['Intelligent Systems', 'Nintendo']",Intelligent Systems, Nintendo,3.5,399,['Arcade'],Arcade,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,take on over 200 quick and quirky microgames  lightningfast minigames filled with frantic fun  solo or with a friend when his latest harebrained business scheme goes awry wario must use his signature style and smell to fix it how by playing a twisted collection microgames of course from assembling a robot to pulling out a statues armpit hair the warioware get it together game is a comedic cooperative microgame mashup,2200,59,460,636,2
317,Beyond: Two Souls,2013-10-08,"['Quantic Dream', 'Sony Computer Entertainment']",Quantic Dream, Sony Computer Entertainment,2.7,433,['Adventure'],Adventure,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,a unique psychological action thriller delivered by alist hollywood performances by elliot page and willem dafoe beyond two souls takes you on a thrilling journey across the globe as you play out the remarkable life of jodie holmes,5400,52,1100,524,2
318,Digimon Survive,2022-07-28,"['Bandai Namco Entertainment', 'Witchcraft Inc.']",Bandai Namco Entertainment, Witchcraft Inc.,3.4,167,"['Adventure', 'RPG', 'Simulator', 'Strategy', 'Turn-Based-Strategy']",Adventure,RPG,Simulator,Strategy,Turn-Based-Strategy,Not applicable,"this is a story of survival in a strange new world
celebrating the 20th anniversary of the digimon anime digimon survive presents a brandnew adventure set in a mysterious world with characters designed by uichi ukumo and music by the muchacclaimed tomoki miyoshi
digimon survive sees a brandnew group of teenagers led by takuma momozuka get lost on a school camping trip finding them transported to a strange new world of monsters and danger
as they fight their way back home through an animated world of difficult decisions and deadly battles players’ choices throughout the game will impact the evolution of their monster allies and the final ending battles in the game are fought in 2d in a more classic srpg style",454,148,525,602,2
319,Spiritfarer,2020-08-18,['Thunder Lotus Games'],Thunder Lotus Games,Not applicable,3.9,513,"['Adventure', 'Indie', 'Platform', 'Simulator']",Adventure,Indie,Platform,Simulator,Not applicable,Not applicable,spiritfarer is a cozy management game about dying you play stella ferrymaster to the deceased a spiritfarer build a boat to explore the world then befriend and care for spirits before finally releasing them into the afterlife farm mine fish harvest cook and craft your way across mystical seas join the adventure as daffodil the cat in twoplayer cooperative play spend relaxing quality time with your spirit passengers create lasting memories and ultimately learn how to say goodbye to your cherished friends what will you leave behind,2300,352,1500,918,1
320,Little Nightmares II,2021-02-10,"['Tarsier Studios', 'Bandai Namco Entertainment']",Tarsier Studios, Bandai Namco Entertainment,4.0,569,"['Adventure', 'Platform', 'Puzzle']",Adventure,Platform,Puzzle,Not applicable,Not applicable,Not applicable,"little nightmares ii is a suspenseadventure game in which you play as mono a young boy trapped in a world that has been distorted by the humming transmission of a distant tower with six the girl in a yellow raincoat as his guide mono sets out to discover the dark secrets of the signal tower and save six from her terrible fate but their journey will not be straightforward as mono and six will face a gallery of new threats from the terrible residents of this world
will you dare to face this collection of new little nightmares",2500,78,1200,1500,2
321,The Evil Within 2,2017-10-12,"['Tango Gameworks', 'Bethesda Softworks']",Tango Gameworks, Bethesda Softworks,3.7,541,"['Adventure', 'RPG', 'Shooter']",Adventure,RPG,Shooter,Not applicable,Not applicable,Not applicable,"the evil within 2 is the latest evolution of survival horror detective sebastian castellanos has lost it all but when given a chance to save his daughter he must descend once more into the nightmarish world of stem
horrifying threats emerge from every corner as the world twists and warps around him will sebastian face adversity head on with weapons and traps or sneak through the shadows to survive",2700,76,1400,634,2
322,Bloons TD 6,2018-06-14,['Ninja Kiwi'],Ninja Kiwi,Not applicable,3.8,241,"['Strategy', 'Tactical']",Strategy,Tactical,Not applicable,Not applicable,Not applicable,Not applicable,the bloons are back and better than ever craft your perfect defense from a combination of awesome monkey towers upgrades heroes and activated abilities then pop every last bloon that comes your way,4100,331,343,73,1
323,Sayonara Wild Hearts,2019-09-19,"['Simogo', 'Annapurna Interactive']",Simogo, Annapurna Interactive,3.9,725,"['Adventure', 'Arcade', 'Indie', 'Music']",Adventure,Arcade,Indie,Music,Not applicable,Not applicable,sayonara wild hearts is a euphoric music video dream about being awesome riding motorcycles skateboarding dance battling shooting lasers wielding swords and breaking hearts at 200 mph,3100,37,721,789,2
324,Metro 2033 Redux,2014-08-26,"['Koch Media', '4A Games']",Koch Media, 4A Games,3.6,363,"['Adventure', 'RPG', 'Shooter']",Adventure,RPG,Shooter,Not applicable,Not applicable,Not applicable,"metro 2033 redux is the definitive version of the cult classic metro 2033 rebuilt in the latest and greatest iteration of the 4a engine for next gen fans of the original game will find the unique world of metro transformed with incredible lighting physics and dynamic weather effects newcomers will get the chance to experience one of the finest storydriven shooters of all time an epic adventure combining gripping survival horror exploration and tactical combat and stealth
all the gameplay improvements and features from the acclaimed sequel metro last light have been transferred to metro 2033 redux – superior ai controls animation weapon handling and many more – to create a thrilling experience for newcomers and veterans alike with two unique playstyles and the legendary ranger mode included metro 2033 redux offers hours of aaa gameplay for an incredible price",3900,108,1600,260,2
325,Melty Blood: Type Lumina,2021-09-29,"['Delightworks', 'French Bread']",Delightworks, French Bread,3.6,194,"['Fighting', 'Visual-Novel']",Fighting,Visual-Novel,Not applicable,Not applicable,Not applicable,Not applicable,"melty blood is a series of 2d fighting games based on typemoons visual romance novel tsukihime since the games original release on pc in 2002 it has also had a number of ports for arcade playstation 2 and steam
now at long last the melty blood series is making its way to playstation4 nintendo switch xbox one and steam on september 30 2021 in the form of melty blood type lumina",1800,159,301,473,2
391,Vampire Survivors,2021-12-17,['Poncle'],Poncle,Not applicable,3.7,836,"['Arcade', 'Indie', 'RPG']",Arcade,Indie,RPG,Not applicable,Not applicable,Not applicable,mow thousands of night creatures and survive until dawn vampire survivors is a gothic horror casual game with roguelite elements where your choices can allow you to quickly snowball against the hundreds of monsters that get thrown at you,6100,944,687,409,1
405,Psychonauts,2005-04-19,"['Double Fine Productions', 'Majesco Entertainment']",Double Fine Productions, Majesco Entertainment,4.0,1200,"['Adventure', 'Platform']",Adventure,Platform,Not applicable,Not applicable,Not applicable,Not applicable,a psychic odyssey through the minds of misfits monsters and madmen this classic actionadventure platformer from acclaimed developers double fine productions follows the story of a young psychic named razputin,7100,388,4200,1200,2
